block_signed_at,tokens_traded_usdt
2020-09-07,0.059985
2020-09-16,794997.3336
2020-09-17,60807762.45
2020-09-18,42250622.14
2020-09-19,149812537.7
2020-09-20,97431884.19
2020-09-21,57364884.18
2020-09-22,31661312.5
2020-09-23,47967387.14
2020-09-24,81485225.83
2020-09-25,74619548.79
2020-09-26,74660580.13
2020-09-27,42143732.41
2020-09-28,34088131.35
2020-09-29,60743225.31
2020-09-30,41672530.8
2020-10-01,31546573.57
2020-10-02,35537705.24
2020-10-03,15807850.02
2020-10-04,25193205.15
2020-10-05,26336750.48
2020-10-06,28906187.55
2020-10-07,21708586.33
2020-10-08,25966143.47
2020-10-09,99901116.92
2020-10-10,97890058.98
2020-10-11,72030594.58
2020-10-12,43239069.34
2020-10-13,34873612.95
2020-10-14,29311813.28
2020-10-15,118580779.9
2020-10-16,37392781.4
2020-10-17,37533090.79
2020-10-18,15845578.82
2020-10-19,53291595.51
2020-10-20,19888010.29
2020-10-21,61180381.29
2020-10-22,149104846.7
2020-10-23,62088821.31
2020-10-24,12324872.4
2020-10-25,20684609.83
2020-10-26,64621193.63
2020-10-27,82714980.09
2020-10-28,50563724.5
2020-10-29,24144318.43
2020-10-30,14012542.33
2020-10-31,9135825.646
2020-11-01,27608667.33
2020-11-02,34497104.09
2020-11-03,35496885.04
2020-11-04,13769421.49
2020-11-05,29814008.7
2020-11-06,27721508.48
2020-11-07,31887414.37
2020-11-08,21056104.41
2020-11-09,40244974.14
2020-11-10,23286598.27
2020-11-11,10859106.61
2020-11-12,25614198.47
2020-11-13,45529719.24
2020-11-14,503815991
2020-11-15,12794926.31
