block_signed_at,tokens_traded_usdt
2020-02-14,150582.2096
2020-02-15,526050.1567
2020-02-16,2036723.393
2020-02-17,1094521.107
2020-02-18,725397.7959
2020-02-19,2310284.387
2020-02-20,8467954.043
2020-02-21,10027860.63
2020-02-22,5745052.408
2020-02-23,5973186.264
2020-02-24,4681278.092
2020-02-25,4086836.146
2020-02-26,9228808.933
2020-02-27,5786065.143
2020-02-28,3631874.529
2020-02-29,2077653.146
2020-03-01,2071061.757
2020-03-02,1774278.632
2020-03-03,3867386.883
2020-03-04,2095768.115
2020-03-05,1869474.955
2020-03-06,1502373.051
2020-03-07,6035775.51
2020-03-08,1793654.055
2020-03-09,9314761.417
2020-03-10,3918153.529
2020-03-11,1136693.241
2020-03-12,4776619.076
2020-03-13,19268307.2
2020-03-14,4520409.812
2020-03-15,9286172.106
2020-03-16,5787389.662
2020-03-17,7401122.013
2020-03-18,3403529.652
2020-03-19,3384468.587
2020-03-20,3974532.095
2020-03-21,2057815.21
2020-03-22,1400639.519
2020-03-23,1273303.733
2020-03-24,1864910.029
2020-03-25,1860841.054
2020-03-26,343553.1675
2020-03-27,1259308.833
2020-03-28,1746322.251
2020-03-29,518210.0534
2020-03-30,2255402.291
2020-03-31,2556668.879
2020-04-01,1389359.151
2020-04-02,1077337.749
2020-04-03,841603.1996
2020-04-04,851955.0518
2020-04-05,860802.8053
2020-04-06,1808981.909
2020-04-07,2314883.71
2020-04-08,4074102.602
2020-04-09,1064772.272
2020-04-10,2565745.298
2020-04-11,1683671.556
2020-04-12,1146962.2
2020-04-13,970761.5752
2020-04-14,476693.744
2020-04-15,1084747.986
2020-04-16,3559170.011
2020-04-17,921674.1678
2020-04-18,414656.1677
2020-04-19,1319437.11
2020-04-20,709652.7788
2020-04-21,1938308.303
2020-04-22,952162.5663
2020-04-23,5597792.563
2020-04-24,976590.3556
2020-04-25,650125.07
2020-04-26,414018.3705
2020-04-27,765282.3846
2020-04-28,140537.9525
2020-04-29,886973.7558
2020-04-30,579101.4974
2020-05-01,574237.5501
2020-05-02,266854.9646
2020-05-03,360687.5819
2020-05-04,722997.8504
2020-05-05,78378.31015
2020-05-06,867203.4556
2020-05-07,345397.0912
2020-05-08,368459.0922
2020-05-09,217578.8607
2020-05-10,453425.1334
2020-05-11,195100.7208
2020-05-12,83124.80145
2020-05-13,72708.69204
2020-05-14,892573.4068
2020-05-15,504767.0304
2020-05-16,1338861.175
2020-05-17,59956.46819
2020-05-18,229368.7835
2020-05-19,8944.500529
2020-05-20,44513.95922
2020-05-21,651679.7597
2020-05-22,850879.5212
2020-05-23,130090.2324
2020-05-24,592263.0548
2020-05-25,356647.5352
2020-05-26,832598.0509
2020-05-27,319998.6051
2020-05-28,199697.1132
2020-05-29,172653.8749
2020-05-30,628961.3668
2020-05-31,684554.4697
2020-06-01,197321.9828
2020-06-02,1130824.809
2020-06-03,321664.6002
2020-06-04,748044.6363
2020-06-05,236382.5065
2020-06-06,31044.78981
2020-06-07,73919.52251
2020-06-08,648619.4344
2020-06-09,358187.3194
2020-06-10,135307.7574
2020-06-11,1388030.759
2020-06-12,1794814.223
2020-06-13,322339.8793
2020-06-14,775910.8608
2020-06-15,2293971.121
2020-06-16,12094178.66
2020-06-17,7388333.898
2020-06-18,10858872
2020-06-19,16802936.43
2020-06-20,66152375.31
2020-06-21,92027587.07
2020-06-22,26999022.48
2020-06-23,9949819.041
2020-06-24,9126940.995
2020-06-25,8247083.829
2020-06-26,14903795.78
2020-06-27,8788250.892
2020-06-28,4615152.397
2020-06-29,2075320.483
2020-06-30,1383765.277
2020-07-01,4146865.686
2020-07-02,1664697.489
2020-07-03,10298689.89
2020-07-04,4456873.838
2020-07-05,1994969.66
2020-07-06,3683378.062
2020-07-07,2762807.346
2020-07-08,4897128.614
2020-07-09,6052209.808
2020-07-10,2251380.078
2020-07-11,4973194.643
2020-07-12,455520.1952
2020-07-13,1653941.151
2020-07-14,1523893.357
2020-07-15,2574990.008
2020-07-16,1484439.688
2020-07-17,1021363.042
2020-07-18,6457347.92
2020-07-19,109955622.1
2020-07-20,39558818.86
2020-07-21,91822430.17
2020-07-22,43122091.54
2020-07-23,61745666.51
2020-07-24,72888676
2020-07-25,199315524.7
2020-07-26,43404262.89
2020-07-27,99254027.52
2020-07-28,46996633.52
